Sigla;Nome;Tipo;Impacto;ISSN
S;Smith-Erickson;C;3,46;
D;Davis-Estrada;P;0;1343-5219
M;Mata-Mendez;P;0;1549-682X
MI;Morris Inc;C;13,27;
Z;Zuniga-Walker;C;5,43;
HKaT;Hall, Kerr and Turner;C;0;
PMaH;Pineda, May and Hernandez;P;18,57;3546-6515
ML;Moody LLC;P;4,85;6264-1011
J;Jones-Hurley;C;20,89;
HBaF;Harper, Bowman and Fitzgerald;C;0;
TG;Torres Group;C;0;
A;Austin-Levy;C;6,74;
FI;Fernandez Inc;P;0;0321-2564
MP;Melton PLC;P;19,83;6979-031X
BWaH;Baxter, Washington and Henderson;C;20,15;
GVaR;Gonzalez, Vazquez and Robles;P;25,54;3096-803X
HP;Hardy PLC;P;4,61;0049-1103
HL;Hester LLC;P;0;2282-993X
HaS;Haney and Sons;P;17,30;0778-3706
RL;Riley Ltd;C;0;
AHaP;Allen, Hughes and Phillips;P;0,92;8993-1234
SI;Spencer Inc;P;0;6066-099X
NaS;Nelson and Sons;P;0;9986-816X
N;Nelson-Jimenez;C;4,44;
AHaM;Adkins, Hernandez and Mason;P;30,95;1049-863X
CMaR;Campbell, Miller and Rogers;C;0;
NL;Nichols Ltd;C;0;
RaS;Rodriguez and Sons;C;14,62;
H;Hays-Kennedy;C;0;
JI;Jackson Inc;C;0;
ZG;Zimmerman Group;P;0;7281-3719
W;Wilson-Zhang;C;0;
BG;Brady Group;P;4,68;8205-087X
BP;Brown PLC;P;19,26;9431-3726
JHaP;Johnson, Harris and Powell;P;0;1902-3475
F;Fields-Garcia;C;0;
JRaH;Juarez, Roberts and Hernandez;C;9,29;
FSaG;Fischer, Stone and Green;P;0;5855-4712
G;Gomez-Austin;P;0;7753-4510
B;Blankenship-Reid;C;0;
AaS;Armstrong and Sons;C;5,7;
T;Thompson-Gardner;P;0;5639-571X
BI;Brewer Inc;C;0;
WL;White LLC;P;17,33;7606-2423
YI;York Inc;P;6,33;8371-542X
PI;Perry Inc;P;0;7623-155X
VGaA;Valdez, Gill and Anthony;P;0;0165-979X
P;Porter-Swanson;P;0;9511-3471
WRaP;Willis, Ruiz and Pearson;C;0;
LI;Larsen Inc;P;0;1836-592X
